Label,Question,Facet,Trait,Meta-Trait,Facet Weight,Trait Weight,Meta-Trait Weight
Anxiety_1,Worry about things.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.487,0.493,-0.422
Vulnerability_26,Panic easily.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.494,0.493,-0.422
Anxiety_31,Fear for the worst.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.453,0.493,-0.422
Self.Consciousness_46,Am afraid that I will do the wrong thing.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.306,0.493,-0.422
Vulnerability_56,Become overwhelmed by events.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.354,0.493,-0.422
Anxiety_61,Am afraid of many things.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.393,0.493,-0.422
Vulnerability_86,Feel that I'm unable to deal with things.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.376,0.493,-0.422
Anxiety_91,Get stressed out easily.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.523,0.493,-0.422
Vulnerability_116,Can't make up my mind.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.15,0.493,-0.422
Anxiety_121,Get caught up in my problems.,1 (Anxiety),1 (Neuroticism),1 (Stability),0.332,0.493,-0.422
Anxiety_151,Am not easily bothered by things.,1 (Anxiety),1 (Neuroticism),1 (Stability),-0.256,-0.493,0.422
Trust_154,Think that all will be well.,1 (Anxiety),1 (Neuroticism),1 (Stability),-0.214,-0.493,0.422
Vulnerability_176,Remain calm under pressure.,1 (Anxiety),1 (Neuroticism),1 (Stability),-0.262,-0.493,0.422
Anxiety_181,Am relaxed most of the time.,1 (Anxiety),1 (Neuroticism),1 (Stability),-0.277,-0.493,0.422
Anxiety_211,Am not easily disturbed by events.,1 (Anxiety),1 (Neuroticism),1 (Stability),-0.247,-0.493,0.422
Vulnerability_236,Know how to cope.,1 (Anxiety),1 (Neuroticism),1 (Stability),-0.302,-0.493,0.422
Anxiety_241,Don't worry about things that have already happened.,1 (Anxiety),1 (Neuroticism),1 (Stability),-0.383,-0.493,0.422
Vulnerability_266,Readily overcome setbacks.,1 (Anxiety),1 (Neuroticism),1 (Stability),-0.185,-0.493,0.422
Anger_6,Get angry easily.,5 (Anger),1 (Neuroticism),1 (Stability),0.57,0.629,-0.422
Anger_36,Get irritated easily.,5 (Anger),1 (Neuroticism),1 (Stability),0.516,0.629,-0.422
