# CONSTRUCT SCORES
Level,Construct,Tier,Normalized Score [-1 to +1],Standard Error (SE),Raw Score,Abs Weight Sum,Answered Items,Total Items
"Meta-Trait","Stability","Low",-0.5000,1.0000,-0.2110,0.4220,1,82
"Meta-Trait","Plasticity","Average",0.0000,1.0000,0.0000,0.4660,1,99
"Meta-Trait","Disinhibition","N/A",N/A,N/A,0.0000,0.0000,0,40
"Trait","Neuroticism","High",0.5000,1.0000,0.2070,0.4140,1,48
"Trait","Sociability","Average",0.0000,1.0000,0.0000,0.1990,1,58
"Trait","Conscientiousness","N/A",N/A,N/A,0.0000,0.0000,0,34
"Trait","Integrity","N/A",N/A,N/A,0.0000,0.0000,0,14
"Trait","Openness to Experience","N/A",N/A,N/A,0.0000,0.0000,0,41
"Trait","Impulsivity","N/A",N/A,N/A,0.0000,0.0000,0,26
"Facet","Anxiety","N/A",N/A,N/A,0.0000,0.0000,0,18
"Facet","Gregariousness","N/A",N/A,N/A,0.0000,0.0000,0,22
"Facet","Trust","N/A",N/A,N/A,0.0000,0.0000,0,3
"Facet","Self-efficacy","N/A",N/A,N/A,0.0000,0.0000,0,7
"Facet","Anger","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Fairness","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Orderliness","N/A",N/A,N/A,0.0000,0.0000,0,11
"Facet","Dominance","N/A",N/A,N/A,0.0000,0.0000,0,14
"Facet","Emotionality","High",0.5000,1.0000,0.2485,0.4970,1,7
"Facet","Adventurousness","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Determination","N/A",N/A,N/A,0.0000,0.0000,0,4
"Facet","Excitement-seeking","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Intellect","N/A",N/A,N/A,0.0000,0.0000,0,10
"Facet","Attention-seeking","Average",0.0000,1.0000,0.0000,0.5340,1,7
"Facet","Cheerfulness","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Liberalism","N/A",N/A,N/A,0.0000,0.0000,0,9
"Facet","Artistic Interests","N/A",N/A,N/A,0.0000,0.0000,0,7
"Facet","Empathy","N/A",N/A,N/A,0.0000,0.0000,0,14
"Facet","Work Ethic","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Cautiousness","N/A",N/A,N/A,0.0000,0.0000,0,10
"Facet","Manipulativeness","N/A",N/A,N/A,0.0000,0.0000,0,6
"Facet","Humility","N/A",N/A,N/A,0.0000,0.0000,0,3
"Facet","Introspection","N/A",N/A,N/A,0.0000,0.0000,0,6
"Facet","Honesty","N/A",N/A,N/A,0.0000,0.0000,0,3
"Facet","Immoderation","N/A",N/A,N/A,0.0000,0.0000,0,6
"Facet","Self-discipline","N/A",N/A,N/A,0.0000,0.0000,0,4
"Facet","Recklessness","N/A",N/A,N/A,0.0000,0.0000,0,5
"Facet","Calmness","N/A",N/A,N/A,0.0000,0.0000,0,3

# ITEM RESPONSES
Question #,Label,Question Text,Meta-Trait,Meta Weight,Trait,Trait Weight,Facet,Facet Weight,Response,Numeric Score
1,"Assertiveness_252","Don't like to draw attention to myself.","Plasticity",-0.466,"Sociability",-0.199,"Attention-seeking",-0.534,"Neutral",0.0
2,"Anxiety_1","Worry about things.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.487,"Unanswered",N/A
3,"Intellect_233","Have difficulty understanding abstract ideas.","Plasticity",-0.466,"Openness to Experience",-0.459,"Intellect",-0.569,"Unanswered",N/A
4,"Cautiousness_270","Act without thinking.","Disinhibition",-0.580,"Impulsivity",0.445,"Cautiousness",-0.682,"Unanswered",N/A
5,"Orderliness_40","Like to tidy up.","Stability",0.422,"Conscientiousness",0.322,"Orderliness",0.607,"Unanswered",N/A
6,"Friendliness_62","Feel comfortable around people.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.605,"Unanswered",N/A
7,"Morality_99","Use others for my own ends.","Disinhibition",-0.580,"Integrity",-0.429,"Manipulativeness",0.488,"Unanswered",N/A
8,"Emotionality_13","Experience my emotions intensely.","Stability",-0.422,"Neuroticism",0.414,"Emotionality",0.497,"Agree",0.5
9,"Intellect_143","Enjoy thinking about things.","Plasticity",0.466,"Openness to Experience",0.450,"Introspection",0.511,"Unanswered",N/A
10,"Self.Efficacy_65","Handle tasks smoothly.","Stability",0.422,"Conscientiousness",0.459,"Self-efficacy",0.410,"Unanswered",N/A
11,"Altruism_104","Am concerned about others.","Plasticity",0.466,"Sociability",0.397,"Empathy",0.671,"Unanswered",N/A
12,"Cooperation_49","Can't stand confrontations.","Stability",0.422,"Neuroticism",-0.106,"Dominance",-0.460,"Unanswered",N/A
13,"Excitement.Seeking_52","Seek adventure.","Disinhibition",0.580,"Impulsivity",0.390,"Excitement-seeking",0.547,"Unanswered",N/A
14,"Dutifulness_165","Break rules.","Disinhibition",0.580,"Integrity",-0.427,"Fairness",-0.589,"Unanswered",N/A
15,"Cheerfulness_207","Laugh aloud.","Plasticity",0.466,"Sociability",0.400,"Cheerfulness",0.459,"Unanswered",N/A
16,"Adventurousness_198","Don't like the idea of change.","Plasticity",-0.466,"Openness to Experience",-0.319,"Adventurousness",-0.597,"Unanswered",N/A
17,"Anger_6","Get angry easily.","Stability",-0.422,"Neuroticism",0.629,"Anger",0.570,"Unanswered",N/A
18,"Gregariousness_37","Talk to a lot of different people at parties.","Plasticity",0.466,"Sociability",0.746,"Gregariousness",0.490,"Unanswered",N/A
19,"Achievement.Striving_80","Turn plans into actions.","Stability",0.422,"Conscientiousness",0.496,"Determination",0.446,"Unanswered",N/A
20,"Liberalism_28","Tend to vote for liberal political candidates.","Plasticity",0.466,"Openness to Experience",0.237,"Liberalism",0.547,"Unanswered",N/A
21,"Vulnerability_26","Panic easily.","Stability",-0.422,"Neuroticism",0.493,"Anxiety",0.494,"Unanswered",N/A
22,"Excitement.Seeking_232","Seek danger.","Disinhibition",0.580,"Impulsivity",0.546,"Recklessness",0.500,"Unanswered",N/A
23,"Artistic.Interests_158","Do not like art.","Plasticity",-0.466,"Openness to Experience",-0.371,"Artistic Interests",-0.525,"Unanswered",N/A
